t sp li co sp.sd li.sd co.sd
2707 29.95 38.5 0.0433446689334291 3.03779609720684 5.98288156283173 0.00674662834895082
2717 29.825 38.35 0.0443905376543909 3.8356459022151 5.43752394630742 0.0100789905552271
2727 30.7 38.35 0.0415467582776155 3.3451074107932 6.04067410060695 0.00895180348463795
2737 29.9 38.175 0.0433034407699034 3.06175749764069 5.60168243957529 0.00767316541898242
2747 29.55 37.7 0.0442192500051563 3.72758256714346 6.06883590408978 0.00941772714495955
2757 30.25 37.7 0.0418354080406294 3.59308452589922 6.10254255544569 0.00733029664076398
2767 29.65 37.375 0.0429654015163854 3.15049853604807 5.54093160731326 0.00682767961020023
2777 29.325 37.35 0.0443426566093069 3.3694517548416 5.76705942044768 0.00929144787160391
2787 29.725 37.725 0.0432830952389588 2.65047165613971 4.88843480797227 0.0074077475058008
2797 29.8 38.325 0.0437933726137067 2.85728937353264 5.60397066190457 0.0081449936322458
2807 30.025 38.65 0.0438403192131046 3.39296028376099 4.99512582937428 0.00833865784750853
2817 29.6 38.875 0.0453969461277428 3.46262091337524 5.40743789750605 0.00922609493583818
2827 29.35 37.85 0.0443245166464234 2.45524034021216 5.4186288359269 0.00696634638805496
2837 29.65 38.2 0.0442806340522648 2.91371645664838 4.84741538321567 0.0088630481039045
2847 29.575 37.825 0.0440127987631306 3.09579947008432 5.33919949824422 0.00845686090064651
2857 29.75 38.575 0.0445080005866472 3.46225063898896 5.94801194970607 0.00936235411517283
2867 30.05 38.725 0.0435674911176894 3.24985206763915 6.11424356392304 0.00824354339937839
2877 29.25 38.7 0.045791273603984 3.15212585978058 6.21495301877987 0.00787232604049967
2887 29.375 38.375 0.0451146379999061 3.05242652529225 5.59618688861511 0.00778990227771252
2897 30 38.625 0.0434620295403833 2.97855583660855 5.68257570707744 0.00770622431361088
2907 29.925 38.175 0.0434108170944371 3.33887360094343 5.80842668136738 0.00848850920550086
2917 29.8 38.425 0.0440465701507594 3.67388566744202 7.13922893200588 0.00892035733304826
2927 29.5 37.25 0.0433589261080559 3.16227766016838 6.65929079152982 0.00833167141692056
2937 29.75 38.95 0.0448625016578277 3.38738231889448 6.31217789226427 0.00899269924255738
2947 30.1 39.525 0.0444388974910316 3.22490309931942 5.57000897665345 0.00840086306891496
2957 29.975 39.1 0.0444942507814448 3.0423295730031 5.13310022780755 0.00955715112456583
2967 29.475 37.875 0.0440526202352595 3.02118587686427 5.76099839993925 0.00692571018997615
2977 29.55 38.625 0.0449285866938734 3.07971027608367 6.0624421752463 0.00870580365582823
2987 29.6 38.25 0.0441680423081506 2.91591565422666 5.29513564873097 0.00683395345030617
2997 30.1 38.65 0.0430454108719629 2.40512273795234 5.22592158477875 0.00666382607709219
3007 29.325 38.55 0.0455180346095112 3.04990542097998 5.6972778025101 0.00823857973723714
3017 29.8 38.65 0.0441035617210535 2.8483013381348 5.34238014755836 0.00729217151097206
3027 29.2 39.2 0.0468241406946789 3.1476486950885 5.31181556677043 0.00865067397846121
3037 29.925 38.85 0.0435896534617489 2.9034683062035 6.05339489407306 0.00557910523713052
3047 30.1 38.775 0.0431400844967606 2.71557709784844 6.22438340062281 0.00695491580873258
3057 29.9 38.125 0.0432539287162921 3.44777892086768 6.79436984115978 0.00814392905617184
3067 28.95 38.075 0.0463128340401124 3.39645365578532 6.64247212244326 0.00938504410198657
3077 30.15 37.725 0.0418235071636588 2.67514677287252 5.55156480596884 0.00619548419974934
3087 29.45 38.075 0.044566030656918 2.93476072496899 5.71272758060949 0.00819380544376475
3097 29.5 38.175 0.0442026500129455 2.53184841770917 5.03774216825813 0.00597598049620131
3107 30.75 38.35 0.0410832410117391 2.79880927062444 4.79609884203444 0.00681936887589784
3117 30.275 39.025 0.0433777873839776 3.25014792562762 4.57130122304305 0.00747064271888698
3127 30.225 38.95 0.0434060741212231 2.77800426427097 3.93504960383162 0.00774116554278255
3137 29.8 38.575 0.0440855170775554 2.95435358889303 4.57914727253773 0.00689025773799085
3147 29.9 39.65 0.0451950790019834 3.16875774413659 4.96423103245505 0.00840542202456116
3157 29.05 37.95 0.0453412606290969 2.52119222916664 5.26697499908872 0.00697521792719522
3167 29.9 37.975 0.0429540249581537 2.95087992092059 5.36124507161804 0.00652254704859569
3177 29.675 38.675 0.0448046156642524 3.11643698591508 5.17581902350754 0.00886590136184737
3187 30.275 39.15 0.0436592103939643 3.10489687677137 5.70896730524074 0.0093927668198488
3197 29.225 39.475 0.0468894599915078 2.67454764926803 5.53769136382894 0.00912501553579601
3207 29.25 39.275 0.0465470744628279 2.80795573052984 5.638637314922 0.0083188657164109
3217 29.85 38.625 0.0438295029298415 3.08470170606245 5.69159299047558 0.00680973745568185
3227 29.475 37.825 0.0445588577223235 3.48614473712798 4.86688180065414 0.00843785402003273
3237 29.75 37.75 0.0432303057602959 2.88008190766718 4.9652639561101 0.00713546944342412
3247 29.1 38 0.045702452089821 2.88941481077362 4.52344320861205 0.00838529346353299
3257 29.025 38.675 0.0467176985564106 2.97414068606595 4.86424685186694 0.00826439104898194
3267 30.175 38.65 0.0433790888150843 3.3808472614314 4.58285545294242 0.00784637034551147
3277 29.25 38.575 0.0460272279821324 3.60732872258968 6.02510772326297 0.00874791470927292
3287 28.85 38.175 0.0467502238237686 2.93999825571202 4.91928439657223 0.00889306971645812
3297 29.15 38.9 0.0463588892384248 2.38101465120036 5.21241122411027 0.00809591673283179
