t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
1252 0.370812112749375 0.4049464642229 0.240095128028226 0.876290775188006 0.942622239339577 0.0714727792768156 0.0765087948647332 0.0745148455227756 0.0533831752506323 0.0663908690405438 0.0339833947729074 0.0436907900572188
1262 0.374706737187529 0.395042149098462 0.237009572734527 0.872518140144648 0.940233211862664 0.0741176634922763 0.091649386845219 0.0561295775116226 0.0586744198601276 0.0870316751563006 0.0412816582401153 0.05679179011507
1272 0.374009984003654 0.387387797517849 0.234519658098544 0.883168763648798 0.941590305327634 0.0631530667366347 0.067920691766946 0.0920420527266715 0.0710821447708083 0.0647670476535838 0.034542559157913 0.0375359997127794
1282 0.360978807728723 0.377317231722725 0.228655356413356 0.881924128984039 0.938579620888899 0.0618798681684545 0.0805771640955053 0.0865882770287895 0.0629499271262619 0.0739548640914917 0.0399055663126849 0.041465293569437
1292 0.363633841238589 0.402629565848149 0.249675643706586 0.884996706126315 0.94375910224073 0.0633465949068352 0.075996468676771 0.0817440312040877 0.0603706944556618 0.0644352420918529 0.0310250351271552 0.0404326861488012
1302 0.361286176454846 0.401207019042196 0.243710937747293 0.891755763145586 0.946347632247956 0.0592145782506078 0.0778498672020263 0.080940313497189 0.054724409677344 0.0739219168931853 0.0390763240617044 0.0418566068244516
1312 0.363527601007539 0.388388177989026 0.240938457250694 0.858485598941338 0.929407087192577 0.0783465162057465 0.0773313159602746 0.0713469834923854 0.064612304843427 0.0846079055595092 0.0445247506411577 0.0497960134918537
1322 0.375252961217225 0.389154383028628 0.238449682610725 0.874162833306387 0.939828763676988 0.071926998213244 0.0875398696623365 0.076141760165117 0.0568780737963273 0.0923399178741349 0.0443764753796988 0.0630763315082735
1332 0.354138758659353 0.380785876570152 0.221222936573345 0.871200143533096 0.93568542448984 0.0704522585737459 0.0864981623835116 0.0736593014690705 0.0616176648476397 0.0762963724401389 0.0388583325105083 0.0480009794264524
1342 0.360317882492198 0.39260207874042 0.228118642938882 0.87251198681541 0.938570794665451 0.0719971917038663 0.0754228758483335 0.0699467995017613 0.0566818919793584 0.077380459131494 0.037334168134502 0.0507615496995626
1352 0.368560446447781 0.397317211926454 0.248781803512359 0.867230524102006 0.934548689147412 0.0742767652444954 0.0822853361636718 0.0797575213198439 0.0685693645732219 0.0884563209171938 0.0445253966879325 0.0548099613673443
1362 0.36573974203412 0.40909033920688 0.250518378962205 0.860706473097016 0.931882485709161 0.0786518840223436 0.0878214923962971 0.0908622821853989 0.0588944750252121 0.0924168200243437 0.0476953159350529 0.0589679009955875
1372 0.38624169951264 0.433052549747702 0.25197130482525 0.864775217068332 0.936896222748257 0.079144459281279 0.0699384711207414 0.0757251283888437 0.0578714006544365 0.0887015718778033 0.0467202154497564 0.053160126240812
1382 0.389885402318267 0.401983944540511 0.262771701574559 0.868530762513801 0.935838916390923 0.074262137931741 0.0793624877145504 0.0871069265366716 0.0588559022567225 0.0928185134436485 0.0502340218057719 0.0559311828416762
1392 0.381768495355038 0.388339309346511 0.243199235669282 0.846495253188362 0.923505238449249 0.0861201319003164 0.0896995005467228 0.0802494451701243 0.0635704822961014 0.0948646082306231 0.0506838946813667 0.0564751423450436
1402 0.356229320922041 0.395076652340124 0.23798979124371 0.871651371142387 0.936182389364904 0.070902459755444 0.0754939418726102 0.0634616643516693 0.0519874332858663 0.0836933213378963 0.042779486575023 0.0501745352404214
1412 0.378027741867118 0.403528614574217 0.251400490147796 0.851508144187561 0.930039615058074 0.0858508265576258 0.083468732628839 0.0800533482475275 0.0600454820475759 0.0710106373922584 0.0384330508086551 0.0444971275100115
1422 0.376493689017844 0.416675046199425 0.248424101107547 0.852484500162588 0.929820764051389 0.0848229009198276 0.0802777540157619 0.0790368189391651 0.0623299556612369 0.0779297193154948 0.0394238250831799 0.0491002002455407
1432 0.352034448457723 0.388846593483606 0.246790863950572 0.868182640676707 0.933908561801251 0.0724405483612083 0.0914594504842894 0.0870159032079115 0.0646807438441295 0.0859933903780038 0.0437278885422988 0.0530223191221819
1442 0.369922938588387 0.38898721579978 0.242278249096124 0.866834912920001 0.933743201724455 0.073662182109415 0.090880381902082 0.0921192762777797 0.0589350742403769 0.0860833598239472 0.0428130468637444 0.055435623628933
1452 0.397563100510416 0.400507410664315 0.237546223369408 0.864965631488854 0.939802688863615 0.082095041212216 0.0801789135079105 0.0863855631035695 0.0674427140564831 0.0957108200820984 0.0406106796547178 0.0690113200306538
1462 0.375268231693987 0.395623704657445 0.225985494375368 0.879978671230812 0.942424418787377 0.0680850306076267 0.0839328569168133 0.0703891877166337 0.0578999638763926 0.0819321270680348 0.0414972367598064 0.0510754271447193
1472 0.37074449645987 0.395924095508186 0.231857814298045 0.859056857297155 0.934625103347778 0.0833180805088794 0.0699295285005301 0.0885187507664744 0.0595094895885469 0.0951671887335949 0.0401748148998792 0.0701788682590072
1482 0.379853836506077 0.375055879490405 0.235042163273584 0.869981367649267 0.93684870574445 0.073787333173951 0.0826430668375333 0.0890228069122913 0.056000610055111 0.093282871067505 0.0476806501040352 0.0569418439892503
